animeTitle	animeType	animeNumEpisode	releaseDate	endDate	animeNumMembers	animeScore	animeUsers	animeRank	animePopularity	animeDescription	animeRelated	animeCharacters	animeVoices	animeStaff
Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru	TV	12	10/06/2021	10/06/2021	184026	7.71	27969	1031	971	"""I'm going to live for myself!""The greatest assassin on Earth knew only how to live as a tool for his employers—until they stopped letting him live. Reborn by the grace of a goddess into a world of swords and sorcery, he's offered a chance to do things differently this time around, but there's a catch...He has to eliminate a super-powerful hero who will bring about the end of the world unless he is stopped.Now known as Lugh Tuatha Dé, the master assassin certainly has his hands full, particularly because of all the beautiful girls who constantly surround him. Lugh may have been an incomparable killer, but how will he fare against foes with powerful magic? (Source: Yen Press)"	['Adaptation: Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru']	['Tuatha Dé, Lugh', 'Dia', 'Maha', 'Tarte', 'Liannenon, Epona', 'Goddess', 'Esri', 'Claris', 'Cian']	['Akabane, Kenji', 'Ueda, Reina', 'Shimoji, Shino', 'Takada, Yuuki']	[['Tamura, Masafumi', 'Director'], ['Takayama, Katsuhiko', 'Script, Series Composition'], ['Yuuki, Aira', 'Theme Song Performance'], ['Ninomiya, Yui', 'Theme Song Performance']]
