animeTitle	animeType	animeNumEpisode	releaseDate	endDate	animeNumMembers	animeScore	animeUsers	animeRank	animePopularity	animeDescription	animeRelated	animeCharacters	animeVoices	animeStaff
Walking Meat	Movie	1	09/24/2018	-	1580		0	14123	10082	Humanity has grown a taste for zombies. Stewed, sautéed, or squeezed.In an alternate world, the Japanese corporation Flesh Inc. has managed to create zombies on domestic soil during the roaring Sixties (the years of the economic boom) using voodoo techniques imported from Africa, and it has built a fortune thereafter by selling zombie products of all kind: instant noodles, soft drinks, hamburgers, pet food, and cosmetics.But when a trio of self-centered millennials on their first workday get trapped inside a fully automated zombie farm with their old-school technotard supervisor and a horde of undead running amok, overcoming generation gaps becomes a matter of survival.(Source: Production I.G)	 	['Kaori', 'Hasegawa', 'Masaru', 'Marin', 'Babu']	['Tsuda, Minami', 'Tsuda, Kenjirou', 'Ochiai, Fukushi', 'Uchida, Maaya', 'Sanpei, Yuuko']	[['Sugai, Shinya', 'Director'], ['Saitou, Takumi', 'Sound Director'], ['Tanimura, Daishiro', 'Script'], ['Takeda, Yuusuke', 'Art Director']]
