animeTitle	animeType	animeNumEpisode	releaseDate	endDate	animeNumMembers	animeScore	animeUsers	animeRank	animePopularity	animeDescription	animeRelated	animeCharacters	animeVoices	animeStaff
Nanatsu no Taizai	TV	24	10/05/2014	10/05/2014	1705304	7.76	1083238	931	29	"In a world similar to the European Middle Ages, the feared yet revered Holy Knights of Britannia use immensely powerful magic to protect the region of Britannia and its kingdoms. However, a small subset of the Knights supposedly betrayed their homeland and turned their blades against their comrades in an attempt to overthrow the ruler of Liones. They were defeated by the Holy Knights, but rumors continued to persist that these legendary knights, called the ""Seven Deadly Sins,"" were still alive. Ten years later, the Holy Knights themselves staged a coup dՎtat, and thus became the new, tyrannical rulers of the Kingdom of Liones.Based on the best-selling manga series of the same name, Nanatsu no Taizai follows the adventures of Elizabeth, the third princess of the Kingdom of Liones, and her search for the Seven Deadly Sins. With their help, she endeavors to not only take back her kingdom from the Holy Knights, but to also seek justice in an unjust world.[Written by MAL Rewrite]"	['Adaptation: Nanatsu no Taizai', 'Side story: Nanatsu no Taizai OVA', 'Sequel: Nanatsu no Taizai: Seisen no Shirushi', 'Summary: Nanatsu no Taizai: Imashime no Fukkatsu Joshou']	['Ban', 'Meliodas', 'King', 'Hawk', 'Gowther', 'Diane', 'Liones, Elizabeth', 'Merlin', 'Elaine', 'Gilthunder']	['Suzuki, Tatsuhisa', 'Kaji, Yuki', 'Fukuyama, Jun', 'Kuno, Misaki', 'Takagi, Yuuhei', 'Yuuki, Aoi', 'Amamiya, Sora', 'Sakamoto, Maaya', 'Koiwai, Kotori', 'Miyano, Mamoru']	[['Okamura, Tensai', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Ishii, Toshimasa', 'Episode Director'], ['Takamura, Yuuta', 'Episode Director']]
